"TableName","ColumnName","DataType","max_length","is_nullable"
"SchwabAccounts","Id","uniqueidentifier","16","False"
"SchwabAccounts","AccountNumber","nvarchar","100","False"
"SchwabAccounts","AccountType","nvarchar","100","True"
"SchwabAccounts","Nickname","nvarchar","400","True"
"SchwabAccounts","Status","nvarchar","100","True"
"SchwabAccounts","IsMargin","int","4","True"
"SchwabAccounts","OperationType","nvarchar","300","True"
"SchwabAccounts","Comments","nvarchar","300","True"
"SchwabAccounts","BatchId","nvarchar","100","True"
"SchwabAccounts","LoadDate","datetime","8","True"
"SchwabAccounts","CreatedBy","nvarchar","100","True"
"SchwabAccounts","CreatedOn","datetime","8","True"
"SchwabAccounts","LastEditBy","nvarchar","100","True"
"SchwabAccounts","LastEditOn","datetime","8","True"
"SchwabAccounts","SysStartTime","datetime2","8","False"
"SchwabAccounts","SysEndTime","datetime2","8","False"
"SchwabAccounts_History","Id","uniqueidentifier","16","False"
"SchwabAccounts_History","AccountNumber","nvarchar","100","False"
"SchwabAccounts_History","AccountType","nvarchar","100","True"
"SchwabAccounts_History","Nickname","nvarchar","400","True"
"SchwabAccounts_History","Status","nvarchar","100","True"
"SchwabAccounts_History","IsMargin","int","4","True"
"SchwabAccounts_History","OperationType","nvarchar","300","True"
"SchwabAccounts_History","Comments","nvarchar","300","True"
"SchwabAccounts_History","BatchId","nvarchar","100","True"
"SchwabAccounts_History","LoadDate","datetime","8","True"
"SchwabAccounts_History","CreatedBy","nvarchar","100","True"
"SchwabAccounts_History","CreatedOn","datetime","8","True"
"SchwabAccounts_History","LastEditBy","nvarchar","100","True"
"SchwabAccounts_History","LastEditOn","datetime","8","True"
"SchwabAccounts_History","SysStartTime","datetime2","8","False"
"SchwabAccounts_History","SysEndTime","datetime2","8","False"
"SchwabAccountsStaging","AccountNumber","nvarchar","100","False"
"SchwabAccountsStaging","AccountType","nvarchar","100","True"
"SchwabAccountsStaging","Nickname","nvarchar","400","True"
"SchwabAccountsStaging","Status","nvarchar","100","True"
"SchwabAccountsStaging","IsMargin","int","4","True"
"SchwabAccountsStaging","RawJson","nvarchar","-1","True"
"SchwabAccountsStaging","ExtractedAt","datetime","8","False"
"SchwabAccountsStaging","OperationType","nvarchar","300","True"
"SchwabAccountsStaging","Comments","nvarchar","300","True"
"SchwabAccountsStaging","BatchId","nvarchar","100","True"
"SchwabAccountsStaging","LoadDate","datetime","8","True"
"SchwabAccountsStaging","CreatedBy","nvarchar","100","False"
"SchwabAccountsStaging","CreatedOn","datetime","8","False"
"SchwabAccountsStaging","LastEditBy","nvarchar","100","True"
"SchwabAccountsStaging","LastEditOn","datetime","8","True"
"SchwabMarketDataPortfolio","PortfolioID","int","4","False"
"SchwabMarketDataPortfolio","PortfolioName","nvarchar","200","False"
"SchwabMarketDataPortfolio","Description","nvarchar","200","False"
"SchwabMarketDataPortfolio","IsActive","int","4","False"
"SchwabMarketDataPortfolio","CreatedOn","datetime2","6","False"
"SchwabMarketDataPortfolioDefaultSymbol","PortfolioID","int","4","False"
"SchwabMarketDataPortfolioDefaultSymbol","Symbol","varchar","32","False"
"SchwabMarketDataPortfolioDefaultSymbol","Quantity","decimal","9","True"
"SchwabMarketDataPortfolioDefaultSymbol","IsActive","bit","1","False"
"SchwabMarketDataPortfolioDefaultSymbol","LastUpdated","datetime2","6","False"
"SchwabMarketDataPortfolioSymbol","PortfolioID","int","4","False"
"SchwabMarketDataPortfolioSymbol","Symbol","varchar","32","False"
"SchwabMarketDataPortfolioSymbol","Quantity","decimal","9","True"
"SchwabMarketDataPortfolioSymbol","IsActive","bit","1","False"
"SchwabMarketDataPortfolioSymbol","LastUpdated","datetime2","6","False"
"SchwabPortfolioQuotesAnalyticsZScores","Id","int","4","False"
"SchwabPortfolioQuotesAnalyticsZScores","Symbol","nvarchar","40","False"
"SchwabPortfolioQuotesAnalyticsZScores","QuoteDate","datetime2","7","False"
"SchwabPortfolioQuotesAnalyticsZScores","ColumnName","nvarchar","100","False"
"SchwabPortfolioQuotesAnalyticsZScores","MetricType","nvarchar","60","False"
"SchwabPortfolioQuotesAnalyticsZScores","Scope","nvarchar","60","False"
"SchwabPortfolioQuotesAnalyticsZScores","RawValue","decimal","9","False"
"SchwabPortfolioQuotesAnalyticsZScores","ZScore","decimal","9","False"
"SchwabPortfolioQuotesAnalyticsZScores","OperationType","nvarchar","300","True"
"SchwabPortfolioQuotesAnalyticsZScores","Comments","nvarchar","300","True"
"SchwabPortfolioQuotesAnalyticsZScores","BatchId","uniqueidentifier","16","False"
"SchwabPortfolioQuotesAnalyticsZScores","LoadDate","datetime2","7","False"
"SchwabQuotes","StageId","int","4","False"
"SchwabQuotes","RawId","int","4","False"
